"Step","vivid-sweep-6 - svd/update_layer11_stacked/condition_number","vivid-sweep-6 - svd/update_layer11_stacked/condition_number__MIN","vivid-sweep-6 - svd/update_layer11_stacked/condition_number__MAX","decent-sweep-5 - svd/update_layer11_stacked/condition_number","decent-sweep-5 - svd/update_layer11_stacked/condition_number__MIN","decent-sweep-5 - svd/update_layer11_stacked/condition_number__MAX","distinctive-sweep-4 - svd/update_layer11_stacked/condition_number","distinctive-sweep-4 - svd/update_layer11_stacked/condition_number__MIN","distinctive-sweep-4 - svd/update_layer11_stacked/condition_number__MAX","different-sweep-3 - svd/update_layer11_stacked/condition_number","different-sweep-3 - svd/update_layer11_stacked/condition_number__MIN","different-sweep-3 - svd/update_layer11_stacked/condition_number__MAX","valiant-sweep-2 - svd/update_layer11_stacked/condition_number","valiant-sweep-2 - svd/update_layer11_stacked/condition_number__MIN","valiant-sweep-2 - svd/update_layer11_stacked/condition_number__MAX","jolly-sweep-1 - svd/update_layer11_stacked/condition_number","jolly-sweep-1 - svd/update_layer11_stacked/condition_number__MIN","jolly-sweep-1 - svd/update_layer11_stacked/condition_number__MAX"
"172","9279.773815688723","9279.773815688723","9279.773815688723","13616.524132705206","13616.524132705206","13616.524132705206","14331.882366153597","14331.882366153597","14331.882366153597","14458.197969440862","14458.197969440862","14458.197969440862","10340.526420124785","10340.526420124785","10340.526420124785","9550.142110549328","9550.142110549328","9550.142110549328"
"180","8505.507293680574","8505.507293680574","8505.507293680574","12881.188053130592","12881.188053130592","12881.188053130592","12363.586142062579","12363.586142062579","12363.586142062579","14207.261037294991","14207.261037294991","14207.261037294991","9705.239539318773","9705.239539318773","9705.239539318773","8630.288457926938","8630.288457926938","8630.288457926938"
"187","9121.32964796516","9121.32964796516","9121.32964796516","12998.515932059949","12998.515932059949","12998.515932059949","13651.58629661508","13651.58629661508","13651.58629661508","13420.415694979936","13420.415694979936","13420.415694979936","10574.691248238907","10574.691248238907","10574.691248238907","9684.805542283942","9684.805542283942","9684.805542283942"
"194","10780.346765640395","10780.346765640395","10780.346765640395","16566.320443365657","16566.320443365657","16566.320443365657","15020.449569675535","15020.449569675535","15020.449569675535","13876.690424722616","13876.690424722616","13876.690424722616","10459.258652275228","10459.258652275228","10459.258652275228","9493.411709297474","9493.411709297474","9493.411709297474"
"201","10591.592768181754","10591.592768181754","10591.592768181754","15406.402826939728","15406.402826939728","15406.402826939728","13862.071615547855","13862.071615547855","13862.071615547855","15158.384655302749","15158.384655302749","15158.384655302749","10882.491959640782","10882.491959640782","10882.491959640782","10280.810818788033","10280.810818788033","10280.810818788033"
"209","9894.668669611197","9894.668669611197","9894.668669611197","14393.00628798892","14393.00628798892","14393.00628798892","15063.419248268037","15063.419248268037","15063.419248268037","16022.381985973412","16022.381985973412","16022.381985973412","10499.954182806428","10499.954182806428","10499.954182806428","10078.287922568066","10078.287922568066","10078.287922568066"
"216","11311.746455067452","11311.746455067452","11311.746455067452","14648.147203129723","14648.147203129723","14648.147203129723","15612.495505424258","15612.495505424258","15612.495505424258","14533.180320689646","14533.180320689646","14533.180320689646","10206.368241012606","10206.368241012606","10206.368241012606","10619.279517879633","10619.279517879633","10619.279517879633"
"223","11415.899145556881","11415.899145556881","11415.899145556881","17587.785645462736","17587.785645462736","17587.785645462736","17778.968069758554","17778.968069758554","17778.968069758554","15669.53979439135","15669.53979439135","15669.53979439135","10386.623288223533","10386.623288223533","10386.623288223533","11214.022973453628","11214.022973453628","11214.022973453628"
"230","11657.3037621838","11657.3037621838","11657.3037621838","18709.34780893203","18709.34780893203","18709.34780893203","17806.515651711477","17806.515651711477","17806.515651711477","16841.867317201482","16841.867317201482","16841.867317201482","12012.557275174264","12012.557275174264","12012.557275174264","10715.65132511507","10715.65132511507","10715.65132511507"
"238","11571.074926175275","11571.074926175275","11571.074926175275","16641.544213800815","16641.544213800815","16641.544213800815","17335.06447741629","17335.06447741629","17335.06447741629","17667.469883044065","17667.469883044065","17667.469883044065","11521.946315636347","11521.946315636347","11521.946315636347","11750.542047849105","11750.542047849105","11750.542047849105"
